VH,VV,Lat,Moisture Reading
-20.76762472,-12.30086103,30.23733056,9.5
-26.47372813,-13.46492685,30.32227778,33.2
-16.5963963,-6.063186208,30.33353056,6.5
-14.45304248,-6.815100583,30.34100556,15.8
-13.52318891,-6.323032321,30.35620556,6.5
-21.19341297,-9.512629407,30.36727778,37.7
-17.1013031,-12.68154584,30.36974722,19.9
-14.79106573,-8.024113882,30.36985016,19.4
-17.05149718,-8.343881886,30.37009167,15
-17.23389584,-8.279753632,30.37023056,19.6
-15.7228178,-10.82606449,30.38236111,15.8
-15.76160808,-12.68822894,30.39227778,25
-14.2572386,-9.60314081,30.39269444,21.6
-14.26586707,-8.534450539,30.39591389,35.7
-17.38223623,-9.360078858,30.39611389,2.7
-13.65047694,-7.090085789,30.40549053,10.6
-10.71557001,-9.748473459,30.40648058,14.5
-16.02044292,-5.552716309,30.40733056,10.3
-13.37515463,-11.0066026,30.40748056,13.1
-15.26411881,-6.744787589,30.40748882,5.3
-13.37515463,-11.0066026,30.40749048,12
-13.44570897,-4.335882959,30.40758895,6.6
-14.00764403,-4.979641694,30.40786898,8
-14.00764403,-4.979641694,30.40788889,7.3
-11.36997426,-8.340432356,30.41169444,23
-15.21178978,-16.51351034,30.41591389,38.2
-10.52148743,-9.887072093,30.41620778,42.3
-18.40393985,-12.6986477,30.42553056,8.7
-15.57460551,-10.07464609,30.42586111,15.5
-16.53227538,-9.411690762,30.42727768,35.6
-19.61089263,-12.15258217,30.43627778,39.7
-21.71879503,-13.28279113,30.44100556,15
-21.71879503,-13.28279113,30.44100556,13.14
-18.19469077,-8.520365558,30.44102778,10.69
-21.92549749,-14.25655565,30.44111256,17
-15.73923338,-10.03588726,30.4414792,14.5
-15.73923338,-10.03588726,30.44147933,7.9
-17.99611681,-10.51664045,30.44155833,8.6
-24.40583032,-9.502678425,30.44174378,10.4
-22.06773906,-8.783718611,30.44175278,18.9
-16.99233888,-10.53387996,30.44199833,8.9
-18.37529658,-8.833573475,30.44203278,20.5
-21.34398482,-14.60284133,30.44262505,
-16.60653693,-13.87008935,30.44324444,19.8
-15.33855578,-10.35835722,30.45353056,14
-16.19949628,-9.717888991,30.45611389,6.4
-19.14233527,-10.17874464,30.45612389,5.1
-13.87164323,-7.911624623,30.45620432,8.2
-13.87164323,-7.911624623,30.45620556,6.6
-18.95775427,-12.0974569,30.45644444,17.9
-17.69109838,-13.83150604,30.45669444,19.9
-14.51780795,-9.413336262,30.45727778,38.4
-20.59785427,-7.135350076,30.46235085,19.8
-15.39761237,-7.604169459,30.46593056,20.6
-13.42686316,-8.978119933,30.46799167,15.4
-18.30192155,-11.21509888,30.46969444,20.9
-18.98287635,-11.99397591,30.46974655,18.5
-18.98287635,-11.99397591,30.46974722,19.4
-17.06321372,-13.44290374,30.46985054,17.6
-15.11395526,-9.439909826,30.47009167,17.8
-20.75115845,-13.20657128,30.47019379,14.8
-20.75115845,-13.20657128,30.47019444,12.4
-20.75115845,-13.20657128,30.47019533,16.9
-13.55361574,-7.185903658,30.47023056,19.9
-18.28220304,-13.39417597,30.47591389,34.3
-18.00886739,-12.23118162,30.47620389,28.1
-13.80978584,-6.571441536,30.47627778,35.3
-15.75400465,-7.488460599,30.47851944,19.8
-12.05892149,-8.644241916,30.47951944,20.3
-13.66791784,-9.074309424,30.47956389,23.6
-14.60217558,-10.43294053,30.47956389,25
-16.11972817,-10.15343234,30.48227778,26.1
-19.36781386,-12.08974802,30.48236111,17.5
-15.62441351,-9.85044358,30.48236123,16.7
-16.3669805,-9.415968041,30.48551874,15.6
-19.72106066,-10.40150823,30.50733156,15.3
-14.48526154,-8.377491256,30.52551944,21.5
-18.39291906,-13.4426571,30.52553056,7.8
-19.69378143,-11.67023417,30.52556389,18.6
-16.19727684,-12.67504944,30.52568889,23.2
-19.17068112,-12.15315269,30.52586111,12.8
-14.65348558,-5.310388405,30.52768889,18.6
-9.383784149,-2.572095477,30.60733046,12.6
-13.58163939,-5.05721834,30.62568889,15.5
